ETF代码,ETF名称,基金规模,next_crawl_index
159561,德国ETF嘉实,21.19058317,440
159185,港股通信息技术ETF鹏华,1.74257308,440
159848,证券ETF国联安,1.3234765,440
520810,港股通红利ETF易方达,2.8149336,440
560400,证券ETF华泰柏瑞,2.24829983,440
512200,房地产ETF南方,45.66159062,440
512570,证券ETF易方达,30.46328728,440
561320,交运ETF国泰,0.54328443,440
159281,港股央企红利ETF天弘,3.73062802,440
159188,红利100ETF景顺,0.70496427,440
515010,证券ETF华夏,17.82880118,440
159196,港股通信息技术ETF易方达,2.6464662,440
563900,300自由现金流ETF摩根,6.46051556,440
159331,红利港股ETF国泰,2.10526268,440
520610,港股红利低波ETF银华,2.90790377,440
516950,基建ETF银华,1.34221964,440
159318,恒指港股通ETF银华,0.28017336,440
513830,港股通高股息ETF嘉实,0.76401468,440
515060,房地产ETF华夏,6.60710762,440
515960,医药ETF嘉实,1.99164771,440
515090,可持续发展ETF博时,0.05466845,440
159143,港股通央企红利ETF平安,0.56384793,440
159662,交运ETF南方,0.72894604,440
513040,港股通互联网ETF易方达,67.46820566,440
520940,港股通恒生ETF华安,0.27187812,440
159027,畜牧养殖ETF大成,1.31070527,440
513910,港股通央企红利ETF华夏,38.03026836,440
159269,港股通科技ETF南方,19.67078671,440
159850,恒生国企ETF华夏,5.37504501,440
520860,港股通科技ETF富国,3.52832687,440
159312,恒指港股通ETF广发,0.51742493,440
515560,证券ETF建信,1.88143602,440
159220,港股通红利低波ETF华宝,3.01443282,440
520530,港股通科技ETF东财,2.27922048,440
159960,恒生中国企业ETF平安,1.41088144,440
159165,养殖ETF永赢,1.00600995,440
513990,港股通ETF招商,0.89586,440
159619,基建ETF国泰,0.8746833,440
562080,300现金流ETF华宝,4.69720493,440
513210,恒生ETF易方达,0.58374058,440
513660,恒生ETF华夏,39.0713631,440
512450,畜牧养殖ETF广发,0.98782529,440
159117,港股通红利低波ETF鹏华,0.68393188,440
513600,恒生指数ETF南方,20.04665329,440
520770,恒指港股通ETF建信,2.88020772,440
159568,港股互联网ETF博时,4.37566053,440
520840,港股通恒生科技ETF华安,11.38915598,440
516190,传媒ETF华夏,1.12889525,440
520910,港股通互联网ETF华夏,5.37899045,440
513320,港股通新经济ETF易方达,1.23407575,440
520670,港股通科技ETF嘉实,2.18181898,440
159201,自由现金流ETF华夏,174.21169233,440
562900,农业ETF易方达,1.47243641,440
159377,创业板医药ETF国泰,0.77164611,440
159172,养殖ETF汇添富,3.36447828,440
159617,中证500价值ETF华夏,0.38961602,440
520630,港股通互联网ETF广发,3.0580078,440
159135,港股通科技ETF前海开源,6.97132662,440
513030,德国ETF华安,18.35822027,440
588700,科创医药ETF嘉实,4.17814191,440
520950,港股通50ETF摩根,3.13638436,440
513690,港股红利ETF博时,46.66915131,440
515110,一带一路ETF易方达,3.847015,440
512390,中国低波ETF平安,0.23782186,440
159980,有色ETF大成,66.05649461,440
513080,法国ETF华安,10.92714588,440
516970,基建ETF广发,14.69599465,440
517100,沪港深500ETF富国,1.68712592,440
159138,工程机械ETF易方达,0.64964801,440
510900,恒生中国企业ETF易方达,38.66141758,440
588250,科创医药ETF鹏华,2.607353,440
159399,现金流ETF国泰,49.25669081,440
516600,消费服务ETF工银,0.7159926,440
520960,恒指港股通ETF嘉实,0.62223284,440
